G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Labels
0.040936,0.031859,0.078297,-0.21188,-0.051015,0.14111,1.42E-03,3.57E-03,-0.035768,-0.027549,Imbalance
0.043022,0.05422,-0.1039,0.33755,0.033369,0.14421,2.01E-04,3.48E-03,-0.035111,-0.025576,Imbalance
0.046892,-0.015739,0.12315,-0.17094,-0.042678,0.14612,-5.77E-04,3.26E-03,-0.034453,-0.014398,Imbalance
0.048964,0.025309,-0.11835,0.28367,0.014633,0.14662,1.07E-03,2.51E-03,-0.034453,0.003027,Imbalance
0.049953,0.037183,0.10979,-0.092915,-0.035183,0.1489,2.16E-03,3.11E-03,-0.036755,-0.013412,Imbalance
0.050909,0.044748,-0.071187,0.11001,-0.029087,0.14769,8.27E-04,4.05E-03,-0.042015,-0.025905,Imbalance
0.052064,0.077493,0.025654,0.048562,0.0028474,0.15103,-6.44E-05,3.77E-03,-0.043659,-0.03807,Imbalance
0.04978,0.044973,0.00095076,-0.18367,-0.045703,0.14455,4.84E-04,3.09E-03,-0.043659,-0.039714,Imbalance
0.050293,0.11145,-0.039937,0.26905,0.026394,0.14749,1.11E-03,2.77E-03,-0.044316,-0.02459,Imbalance
0.047848,0.064078,0.097596,-0.17755,-0.040925,0.14215,7.37E-04,3.90E-03,-0.043659,-0.012097,Imbalance
0.045133,0.11653,-0.10081,0.34879,0.040826,0.14168,-1.26E-04,3.88E-03,-0.04596,-0.045303,Imbalance
0.04256,0.081237,0.13126,-0.16003,-0.028618,0.13684,-2.00E-04,3.08E-03,-0.047604,-0.052864,Imbalance
0.045326,0.092373,-0.10621,0.2695,0.013606,0.13912,8.51E-04,2.29E-03,-0.048262,-0.036755,Imbalance
0.047135,0.083491,0.086863,-0.0010447,0.00056087,0.14175,8.74E-04,2.60E-03,-0.047604,0.001054,Imbalance
0.048875,0.048184,-0.051911,0.079795,0.0051404,0.14044,2.55E-04,3.35E-03,-0.049906,-0.039056,Imbalance
0.051897,0.074905,0.0011698,0.2542,0.045335,0.14522,5.36E-05,2.90E-03,-0.050234,-0.07555,Imbalance
0.053091,0.0090105,0.02653,0.02645,-0.014905,0.1443,4.83E-04,2.77E-03,-0.050234,-0.036097,Imbalance
0.052391,0.031969,-0.078099,0.36219,0.05951,0.14426,1.80E-03,3.84E-03,-0.048262,0.011904,Imbalance
